jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|category:n,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|kw_energy_consumption:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=category,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=category, 
1035,  5093,  completed,  eof,  2014-07-21 07:24:15,  2014-07-21 07:24:16,  1,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.040560085781.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_223.modelParams|spParams|synPermInactiveDec_0.0546058727645,  10,  None,  None,  0.040560085781,  11,  14,  1,  3,  None,  None,  223,  0.0546058727645,  0.680744444444,  122.534, 
1035,  5094,  completed,  eof,  2014-07-21 07:24:16,  2014-07-21 07:24:17,  1,  modelParams|sensorParams|encoders|category:n_288.modelParams|clParams|alpha_0.0545452851107.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.0491298227547,  10,  288,  None,  0.0545452851107,  11,  14,  None,  4,  None,  None,  299,  0.0491298227547,  0.596311111111,  107.336, 
1035,  5105,  completed,  eof,  2014-07-21 07:24:16,  2014-07-21 07:24:17,  1,  modelParams|clParams|alpha_0.0545452851107.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_344.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.0491298227547,  10,  None,  None,  0.0545452851107,  11,  14,  None,  3,  None,  344,  299,  0.0491298227547,  0.511877777778,  92.138, 
1035,  5107,  completed,  eof,  2014-07-21 07:24:16,  2014-07-21 07:24:17,  1,  modelParams|clParams|alpha_0.0545452851107.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_4.22020278056.modelParams|sensorParams|encoders|_classifierInput|n_250.modelParams|spParams|synPermInactiveDec_0.0491298227547,  10,  None,  None,  0.0545452851107,  11,  14,  None,  3,  4.22020278056,  None,  250,  0.0491298227547,  0.680744444444,  122.534, 
1035,  5108,  completed,  eof,  2014-07-21 07:24:16,  2014-07-21 07:24:17,  1,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.76747526299.modelParams|clParams|alpha_0.0505852494518.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.0491298227547,  10,  None,  6.76747526299,  0.0505852494518,  11,  14,  None,  3,  None,  None,  299,  0.0491298227547,  0.511877777778,  92.138, 
1035,  5109,  completed,  eof,  2014-07-21 07:24:17,  2014-07-21 07:24:17,  0,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.059539914219.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_327.modelParams|spParams|synPermInactiveDec_0.0456941272355,  10,  None,  None,  0.059539914219,  11,  13,  1,  3,  None,  None,  327,  0.0456941272355,  0.680744444444,  122.534, 
1035,  5110,  completed,  eof,  2014-07-21 07:24:17,  2014-07-21 07:24:19,  2,  modelParams|sensorParams|encoders|category:n_276.modelParams|clParams|alpha_0.0403098574447.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_251.modelParams|spParams|synPermInactiveDec_0.0481675886227,  10,  276,  None,  0.0403098574447,  11,  14,  None,  3,  None,  None,  251,  0.0481675886227,  0.596311111111,  107.336, 
1035,  5121,  completed,  eof,  2014-07-21 07:24:18,  2014-07-21 07:24:19,  1,  modelParams|clParams|alpha_0.0403098574447.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_223.modelParams|sensorParams|encoders|_classifierInput|n_251.modelParams|spParams|synPermInactiveDec_0.0481675886227,  10,  None,  None,  0.0403098574447,  11,  14,  None,  3,  None,  223,  251,  0.0481675886227,  0.511877777778,  92.138, 
1035,  5132,  completed,  eof,  2014-07-21 07:24:18,  2014-07-21 07:24:19,  1,  modelParams|clParams|alpha_0.0403098574447.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.48510139028.modelParams|sensorParams|encoders|_classifierInput|n_300.modelParams|spParams|synPermInactiveDec_0.0481675886227,  10,  None,  None,  0.0403098574447,  11,  14,  None,  3,  3.48510139028,  None,  300,  0.0481675886227,  0.680744444444,  122.534, 
1035,  5133,  completed,  eof,  2014-07-21 07:24:18,  2014-07-21 07:24:19,  1,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.22123763149.modelParams|clParams|alpha_0.0522798752741.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_251.modelParams|spParams|synPermInactiveDec_0.0481675886227,  10,  None,  6.22123763149,  0.0522798752741,  11,  14,  None,  3,  None,  None,  251,  0.0481675886227,  0.511877777778,  92.138, 
1035,  5134,  completed,  eof,  2014-07-21 07:24:19,  2014-07-21 07:24:19,  0,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0527975428905.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_237.modelParams|spParams|synPermInactiveDec_0.0498854363823,  10,  None,  None,  0.0527975428905,  11,  14,  1,  3,  None,  None,  237,  0.0498854363823,  0.680744444444,  122.534, 
1035,  5135,  completed,  eof,  2014-07-21 07:24:19,  2014-07-21 07:24:21,  2,  modelParams|sensorParams|encoders|category:n_268.modelParams|clParams|alpha_0.0498001425553.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.0421624113773,  10,  268,  None,  0.0498001425553,  10,  14,  None,  3,  None,  None,  299,  0.0421624113773,  0.596311111111,  107.336, 
1035,  5146,  completed,  eof,  2014-07-21 07:24:19,  2014-07-21 07:24:21,  2,  modelParams|clParams|alpha_0.0498001425553.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_321.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.0421624113773,  10,  None,  None,  0.0498001425553,  10,  14,  None,  3,  None,  321,  299,  0.0421624113773,  0.511877777778,  92.138, 
1035,  5167,  completed,  eof,  2014-07-21 07:24:20,  2014-07-21 07:24:20,  0,  modelParams|clParams|alpha_0.0498001425553.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.51489860972.modelParams|sensorParams|encoders|_classifierInput|n_250.modelParams|spParams|synPermInactiveDec_0.0421624113773,  10,  None,  None,  0.0498001425553,  10,  14,  None,  3,  3.51489860972,  None,  250,  0.0421624113773,  0.680744444444,  122.534, 
1035,  5178,  completed,  eof,  2014-07-21 07:24:20,  2014-07-21 07:24:21,  1,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_5.12876236851.modelParams|clParams|alpha_0.0578101247259.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.0421624113773,  10,  None,  5.12876236851,  0.0578101247259,  10,  14,  None,  3,  None,  None,  299,  0.0421624113773,  0.511877777778,  92.138, 
1035,  5179,  completed,  eof,  2014-07-21 07:24:20,  2014-07-21 07:24:21,  1,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0572924571095.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_313.modelParams|spParams|synPermInactiveDec_0.0404445636177,  10,  None,  None,  0.0572924571095,  10,  14,  1,  3,  None,  None,  313,  0.0404445636177,  0.680744444444,  122.534, 
1035,  5180,  completed,  eof,  2014-07-21 07:24:21,  2014-07-21 07:24:23,  2,  modelParams|clParams|alpha_0.0509293848252.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_277.modelParams|sensorParams|encoders|_classifierInput|n_276.modelParams|spParams|synPermInactiveDec_0.0509865395436,  10,  None,  None,  0.0509293848252,  11,  14,  None,  3,  None,  277,  276,  0.0509865395436,  0.511877777778,  92.138, 
1035,  5181,  completed,  eof,  2014-07-21 07:24:21,  2014-07-21 07:24:22,  1,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0507367485497.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_279.modelParams|spParams|synPermInactiveDec_0.0510914176653,  10,  None,  None,  0.0507367485497,  11,  14,  1,  3,  None,  None,  279,  0.0510914176653,  0.680744444444,  122.534, 
1035,  5182,  completed,  eof,  2014-07-21 07:24:21,  2014-07-21 07:24:23,  2,  modelParams|clParams|alpha_0.0561640368683.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|kw_energy_consumption:n_303.modelParams|sensorParams|encoders|_classifierInput|n_343.modelParams|spParams|synPermInactiveDec_0.0380654399017,  10,  None,  None,  0.0561640368683,  11,  14,  None,  4,  None,  303,  343,  0.0380654399017,  0.511877777778,  92.138, 
1035,  5183,  completed,  eof,  2014-07-21 07:24:21,  2014-07-21 07:24:25,  4,  modelParams|sensorParams|encoders|category:n_272.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  10,  272,  None,  0.05005,  11,  14,  None,  3,  None,  272,  275,  0.05015,  0.511877777778,  92.138, 
1035,  5184,  completed,  eof,  2014-07-21 07:24:22,  2014-07-21 07:24:24,  2,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.825.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  10,  None,  6.825,  0.05005,  11,  14,  None,  3,  None,  272,  275,  0.05015,  0.511877777778,  92.138, 
1035,  5185,  completed,  eof,  2014-07-21 07:24:23,  2014-07-21 07:24:24,  1,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.825.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|kw_energy_consumption:n_22.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  10,  None,  6.825,  0.0001,  9,  12,  None,  1,  None,  22,  28,  0.1,  0.680744444444,  122.534, 
1035,  5186,  completed,  eof,  2014-07-21 07:24:24,  2014-07-21 07:24:28,  4,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.825.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|kw_energy_consumption:n_521.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  10,  None,  6.825,  0.1,  12,  16,  None,  5,  None,  521,  521,  0.0003,  0.596311111111,  107.336, 
1035,  5187,  completed,  eof,  2014-07-21 07:24:24,  2014-07-21 07:24:26,  2,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.18146337359.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_147.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  10,  None,  6.18146337359,  0.025075,  10,  13,  None,  2,  None,  147,  151,  0.075075,  0.511877777778,  92.138, 
1035,  5188,  completed,  eof,  2014-07-21 07:24:24,  2014-07-21 07:24:28,  4,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_7.3550757498.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|kw_energy_consumption:n_396.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|spParams|synPermInactiveDec_0.025225,  10,  None,  7.3550757498,  0.075025,  11,  15,  None,  4,  None,  396,  398,  0.025225,  0.511877777778,  92.138, 
1035,  5189,  completed,  eof,  2014-07-21 07:24:25,  2014-07-21 07:24:28,  3,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.96875.modelParams|clParams|alpha_0.055045.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_296.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.055135,  10,  None,  6.96875,  0.055045,  11,  14,  None,  3,  None,  296,  299,  0.055135,  0.511877777778,  92.138, 
1035,  5190,  completed,  eof,  2014-07-21 07:24:26,  2014-07-21 07:24:28,  2,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.96875.modelParams|clParams|alpha_0.0495147505482.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_248.modelParams|sensorParams|encoders|_classifierInput|n_270.modelParams|spParams|synPermInactiveDec_0.0442688668768,  10,  None,  6.96875,  0.0495147505482,  11,  13,  None,  2,  None,  248,  270,  0.0442688668768,  0.511877777778,  92.138, 
1035,  5191,  completed,  eof,  2014-07-21 07:24:28,  2014-07-21 07:24:30,  2,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.96875.modelParams|clParams|alpha_0.0505852494518.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_296.modelParams|sensorParams|encoders|_classifierInput|n_329.modelParams|spParams|synPermInactiveDec_0.0560311331232,  10,  None,  6.96875,  0.0505852494518,  11,  14,  None,  3,  None,  296,  329,  0.0560311331232,  0.511877777778,  92.138, 
1035,  5212,  completed,  eof,  2014-07-21 07:24:28,  2014-07-21 07:24:31,  3,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.68559665293.modelParams|clParams|alpha_0.0422898752741.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_247.modelParams|sensorParams|encoders|_classifierInput|n_236.modelParams|spParams|synPermInactiveDec_0.0447169334384,  10,  None,  6.68559665293,  0.0422898752741,  11,  14,  None,  3,  None,  247,  236,  0.0447169334384,  0.511877777778,  92.138, 
1035,  5213,  completed,  eof,  2014-07-21 07:24:29,  2014-07-21 07:24:31,  2,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_7.20198104948.modelParams|clParams|alpha_0.0578101247259.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_297.modelParams|sensorParams|encoders|_classifierInput|n_314.modelParams|spParams|synPermInactiveDec_0.0456130665616,  10,  None,  7.20198104948,  0.0578101247259,  10,  14,  None,  3,  None,  297,  314,  0.0456130665616,  0.511877777778,  92.138, 
1035,  5224,  completed,  eof,  2014-07-21 07:24:29,  2014-07-21 07:24:31,  2,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.85030762135.modelParams|clParams|alpha_0.0507153978007.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_273.modelParams|sensorParams|encoders|_classifierInput|n_279.modelParams|spParams|synPermInactiveDec_0.0499856692954,  10,  None,  6.85030762135,  0.0507153978007,  11,  14,  None,  3,  None,  273,  279,  0.0499856692954,  0.511877777778,  92.138, 
1035,  5225,  completed,  eof,  2014-07-21 07:24:31,  2014-07-21 07:24:32,  1,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.88824938157.modelParams|clParams|alpha_0.0623444271168.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|kw_energy_consumption:n_328.modelParams|sensorParams|encoders|_classifierInput|n_335.modelParams|spParams|synPermInactiveDec_0.0363229394513,  10,  None,  6.88824938157,  0.0623444271168,  12,  15,  None,  4,  None,  328,  335,  0.0363229394513,  0.511877777778,  92.138, 
1035,  5226,  completed,  eof,  2014-07-21 07:24:31,  2014-07-21 07:24:32,  1,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.88824938157.modelParams|clParams|alpha_0.0377555728832.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_216.modelParams|sensorParams|encoders|_classifierInput|n_234.modelParams|spParams|synPermInactiveDec_0.0639770605487,  10,  None,  6.88824938157,  0.0377555728832,  11,  14,  None,  3,  None,  216,  234,  0.0639770605487,  0.511877777778,  92.138, 
